log_date,rom_rev,log_path,duration_min,iat_med,iat_p95,iat_max,ect_med,atm_med,pct_highway,pct_boost,fbkc_fires,fbkc_deep,fbkc_deep_resume,fbkc_min,iam_min,flkc_decrements,flkc_min,flkc_neg_pct,flkc_end_zero,afl_med,afl_end,total_trim_cruise_med,idc_max,idc_p99,maf_v_max
2026-05-11,20.11,logs/5-11 20.11/log0002.csv,5.9,62.6,64.4,64.4,,14.36,0.0,0.0,0,0,0,0.0,1.0,0,0.0,0.0,True,0.0,0.0,-4.68,19.1522133333333,13.063699199999997,2.82
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,5.8,71.6,95.0,96.8,,14.36,20.7,1.7,1,0,0,-2.8,0.0,7,-1.0,0.66,True,0.0,0.0,0.0,88.5444266666667,57.22764693333362,4.08
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,11.8,44.6,64.4,64.4,,14.36,14.2,0.0,1,0,0,-1.4,0.0,0,0.0,0.0,True,0.0,0.78,-1.5599999999999998,29.11,16.234400000000022,3.08
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,157.6,84.2,120.2,163.4,,14.51,66.8,0.75,7,0,0,-2.45,0.0,0,0.0,0.0,True,0.0,0.78,0.78,81.2436266666667,28.543896,4.02
2026-05-17,20.12,logs/5-17 20.12/log0003.csv,12.8,96.8,114.8,120.2,,14.51,0.0,0.0,0,0,0,0.0,1.0,0,0.0,0.0,True,0.78,0.0,-0.78,27.90944,18.295261866666664,2.98
2026-05-17,20.12,logs/5-17 20.12/log0004.csv,13.1,68.0,73.4,77.0,,14.51,0.0,0.0,0,0,0,0.0,1.0,0,0.0,0.0,True,0.0,-0.78,-2.34,25.6026666666667,20.17983253333329,3.1
2026-05-17,20.12,logs/5-17 20.12/log0005.csv,12.9,86.0,93.2,95.0,,14.65,0.0,0.0,1,0,0,-1.4,1.0,0,0.0,0.0,True,-0.78,-1.56,-3.12,19.5076266666667,16.373996800000022,2.78
2026-05-17,20.12,logs/5-17 20.12/log0006.csv,14.0,87.8,105.8,114.8,,14.51,4.0,0.0,1,0,0,-2.8,1.0,0,0.0,0.0,True,-1.56,-1.56,-3.12,49.07264,19.432378666666708,3.46
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,133.7,89.6,114.8,147.2,,14.51,78.1,1.41,14,1,1,-7.0,1.0,57,-2.5,0.27,True,-0.78,-0.78,1.5699999999999998,81.0837333333333,32.20592639999998,4.02
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,166.1,71.6,96.8,122.0,,14.65,74.4,1.14,21,0,0,-2.8,1.0,0,0.0,0.0,True,0.0,-1.56,0.0,77.87392,31.97720053333331,3.96
2026-05-23,20.14,logs/5-23 20.14/log0001.csv,23.9,82.4,100.4,109.4,,14.8,0.0,0.08,3,1,1,-4.2,1.0,0,0.0,0.0,True,-0.78,-0.78,-3.13,47.1863466666667,20.475118933333256,3.46
2026-05-23,20.14,logs/5-23 20.14/log0002.csv,8.9,60.8,75.2,75.2,,14.8,0.0,0.0,0,0,0,0.0,1.0,0,0.0,0.0,True,-0.78,-1.56,-2.34,16.6545066666667,11.976089599999968,2.92
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,190.1,69.8,84.2,125.6,,14.8,70.1,1.22,21,3,3,-8.05,0.0,69,-1.0,0.37,True,0.0,-2.34,0.0,104.77376,34.12086186666667,4.38
2026-05-25,20.15,logs/5-25 20.15/log0001.csv,8.6,68.0,80.6,84.2,,14.36,38.0,1.32,0,0,0,0.0,1.0,0,0.0,0.0,True,0.0,-0.78,-2.34,83.8088533333333,39.08241919999999,4.06
2026-05-26,20.15,logs/5-26 20.15/log0001.csv,26.3,89.6,113.0,123.8,,14.3647,11.2,0.13,2,0,0,-2.8,1.0,0,0.0,0.0,True,-1.5625,-2.34375,-2.34375,40.77093333333334,22.300025599999994,3.36
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,164.2,77.0,95.0,132.8,181.4,14.36,73.6,1.04,21,3,1,-7.0,1.0,21,-1.75,0.11,True,-2.34,-2.34,-0.7799999999999998,77.22864,29.71220000000003,4.0
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,45.2,59.0,104.0,113.0,177.8,14.51,12.7,0.61,11,5,4,-11.8,1.0,0,0.0,0.0,True,-2.34,-2.34,-2.34,101.862933333333,27.29456479999989,4.34
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,65.6,93.2,114.8,136.4,181.4,14.36,21.2,0.22,6,0,0,-2.8,0.0,0,0.0,0.0,True,0.0,0.0,-0.78,72.6,24.17740000000005,3.9
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,32.3,82.4,109.4,122.0,174.2,14.36,4.1,0.24,7,4,3,-8.4,1.0,0,0.0,0.0,True,-1.56,-2.34,-1.56,70.4066133333333,22.54190400000001,3.86
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,502.0,80.6,122.0,152.6,181.4,14.36,62.6,1.09,112,10,9,-10.85,1.0,139,-1.0,0.24,True,-0.78,-0.78,0.0,85.48,30.26,4.12
2026-06-13,20.17a,logs/6-13 17a leak fix/log0001.csv,6.7,84.2,87.8,91.4,177.8,14.22,47.5,3.65,4,2,0,-4.2,1.0,0,0.0,0.0,True,-2.34,-2.34,0.79,95.3258666666667,60.01117866666669,4.16
2026-06-14,20.17a,logs/6-13 17a leak fix/log0002.csv,8.1,82.4,93.2,95.0,177.8,14.22,12.9,2.12,1,0,0,-2.45,1.0,0,0.0,0.0,True,-2.34,-9.38,-4.69,97.368,63.86752639999998,4.26
2026-06-14,20.17a,logs/6-13 17a leak fix/log0003.csv,9.8,96.8,116.6,123.8,190.4,14.22,16.7,0.0,0,0,0,0.0,1.0,0,0.0,0.0,True,-2.34,-11.72,-1.56,24.3861333333333,20.68142133333337,2.94
2026-06-14,20.17a,logs/6-13 17a leak fix/log0004.csv,6.9,100.4,141.8,145.4,186.8,14.22,26.2,0.0,0,0,0,0.0,1.0,0,0.0,0.0,True,-4.69,-5.47,-3.13,31.4154666666667,25.390713600000023,3.12
2026-06-15,20.17a,logs/6-15/log0001.csv,18.1,75.2,80.6,91.4,163.4,14.07,16.3,0.71,3,1,1,-11.8,1.0,0,0.0,0.0,True,-5.47,-6.25,-3.13,71.9829333333333,32.76532053333333,3.9
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,183.5,87.8,122.0,152.6,183.2,14.36,62.8,1.23,48,8,8,-11.8,1.0,7,-1.0,0.15,True,-2.34,-0.78,-1.56,93.7242666666667,35.39754240000002,4.24
2026-07-12,20.18,logs/7-12 20.18/7-12 20.18.csv,272.6,96.8,123.8,149.0,185.0,14.3647,36.1,0.15,46,12,9,-8.4,1.0,518,-1.75,1.72,True,-1.5625,0.0,-2.34375,114.91205333333332,25.12797333333333,4.38
2026-07-15,20.18a,logs/7-15 20.18a/7-15 20.18a.csv,31.5,93.2,111.2,127.4,172.4,14.2196,8.7,0.55,2,0,0,-1.4,1.0,0,0.0,0.0,True,-0.78125,-0.78125,-1.5625,91.152,28.803715200000045,4.16
2026-07-16,20.18a,logs/7-16 20.18a/7-16 20.18a.csv,18.1,77.0,82.4,89.6,167.0,14.2196,19.0,0.33,2,0,0,-1.4,1.0,0,0.0,0.0,True,-0.78125,-1.5625,-1.5625,54.08928,25.150368,3.56
