rpm_bp,load_bp,n_logs,total_samples,strict_n,strict_pct,active_n,active_pct,above_1pct_strict
3000,1.0,35,3354592,9367,1.1544,48259,1.7123,True
3000,1.1,35,3354592,2507,0.309,26576,0.943,False
3000,1.2,35,3354592,1060,0.1306,16189,0.5744,False
3000,1.3,35,3354592,411,0.0507,13862,0.4919,False
3000,1.5,35,3354592,131,0.0161,6217,0.2206,False
3000,1.75,35,3354592,36,0.0044,3944,0.1399,False
3000,2.0,35,3354592,0,0.0,1456,0.0517,False
3000,2.25,35,3354592,0,0.0,671,0.0238,False
3000,2.5,35,3354592,0,0.0,662,0.0235,False
3000,3.5,35,3354592,0,0.0,81,0.0029,False
3000,4.0,35,3354592,0,0.0,0,0.0,False
3400,0.2,35,3354592,12344,1.5213,61230,2.1726,True
3400,0.3,35,3354592,20468,2.5226,51578,1.8301,True
3400,0.5,35,3354592,24851,3.0627,56082,1.9899,True
3400,0.6,35,3354592,24315,2.9967,49509,1.7567,True
3400,0.7,35,3354592,34740,4.2815,73479,2.6072,True
3400,0.8,35,3354592,39758,4.9,114706,4.07,True
3400,0.9,35,3354592,32066,3.952,123493,4.3818,True
3400,1.0,35,3354592,10695,1.3181,82723,2.9352,True
3400,1.1,35,3354592,2522,0.3108,52358,1.8578,False
3400,1.2,35,3354592,792,0.0976,36066,1.2797,False
3400,1.3,35,3354592,186,0.0229,21141,0.7501,False
3400,1.5,35,3354592,89,0.011,12409,0.4403,False
3400,1.75,35,3354592,22,0.0027,5143,0.1825,False
3400,2.0,35,3354592,0,0.0,2780,0.0986,False
3400,2.25,35,3354592,0,0.0,1370,0.0486,False
3400,2.5,35,3354592,0,0.0,2136,0.0758,False
3400,3.5,35,3354592,0,0.0,664,0.0236,False
3400,4.0,35,3354592,0,0.0,0,0.0,False
3800,0.2,35,3354592,1635,0.2015,15033,0.5334,False
3800,0.3,35,3354592,2341,0.2885,7090,0.2516,False
3800,0.5,35,3354592,3994,0.4922,8752,0.3105,False
3800,0.6,35,3354592,5692,0.7015,12139,0.4307,False
