rom_rev,log_path,start_time,n_events,n_signals,signal_set,dominant_signal,rpm_mean,load_mean,app_mean,throttle_mean
20.12,logs/5-17 20.12/log0002.csv,6698.28,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,avcs_oscillation,2036.3333333333333,0.21733821303735934,0.0,7.06
20.12,logs/5-17 20.12/log0002.csv,6699.36,2,2,afr_osc+ffb_wbo2_divergence,afr_osc,1922.5,0.2286291219610965,0.195,6.67
20.12,logs/5-17 20.12/log0002.csv,6700.84,2,2,afr_osc+ffb_wbo2_divergence,afr_osc,1897.0,0.299685438689046,2.9450000000000003,9.02
20.12,logs/5-17 20.12/log0002.csv,6755.12,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2451.0,0.189003366316434,0.0,7.645
20.12,logs/5-17 20.12/log0002.csv,6756.96,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2203.0,0.2287792334218395,1.57,8.24
20.12,logs/5-17 20.12/log0002.csv,6777.76,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,1704.5,0.2804419762668195,2.55,7.845
20.12,logs/5-17 20.12/log0002.csv,6830.36,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,2327.5,0.1965738848164,0.0,7.45
20.12,logs/5-17 20.12/log0002.csv,6831.64,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2228.5,0.2408471098455745,1.7650000000000001,8.82
20.12,logs/5-17 20.12/log0002.csv,6833.0,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2252.5,0.2007053869822225,0.195,7.255
20.12,logs/5-17 20.12/log0002.csv,6833.96,3,3,afr_osc+avcs_oscillation+ffb_wbo2_divergence,afr_osc,2213.0,0.20989085387373566,0.7833333333333332,7.71
20.12,logs/5-17 20.12/log0002.csv,6846.28,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,1728.0,0.2227274941849105,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6871.8,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,3499.0,0.1669469493323345,0.195,9.02
20.12,logs/5-17 20.12/log0002.csv,6918.76,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,3140.5,0.37524191012060104,9.41,14.9
20.12,logs/5-17 20.12/log0002.csv,6934.8,2,2,avcs_oscillation+throttle_hunt_at_steady_app,throttle_hunt_at_steady_app,2950.0,0.169035970280436,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,6962.32,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,3388.0,0.16932435398621498,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,6968.76,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,1691.0,0.2321507846950315,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6984.4,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,3009.5,0.170087911802732,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,6989.48,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2940.3333333333335,0.16813980869470369,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,6993.0,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2695.0,0.20394311171872,2.353333333333333,9.413333333333334
20.12,logs/5-17 20.12/log0002.csv,7206.4,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2739.5,0.18298319910633998,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,7252.76,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2848.0,0.17141823001420697,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,7264.6,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,timing_osc,2035.3333333333333,0.22465972303521434,0.52,7.19
20.12,logs/5-17 20.12/log0002.csv,7265.6,2,2,avcs_oscillation+timing_osc,timing_osc,1958.0,0.24822725322697353,2.16,7.845000000000001
20.12,logs/5-17 20.12/log0002.csv,7284.0,2,2,avcs_oscillation+timing_osc,avcs_oscillation,1863.0,0.232658330662122,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,7396.92,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2047.5,0.22227447513416798,0.0,7.06
20.12,logs/5-17 20.12/log0002.csv,7421.8,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,3432.5,0.1685421990569605,1.375,9.215
20.12,logs/5-17 20.12/log0002.csv,7544.56,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,3024.0,0.1728277398497495,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,7632.8,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2814.0,0.173442878052447,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,7635.8,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,2697.0,0.176661645598884,0.0,7.84
