log_date,rom_rev,log_path,mafv_bin,mafgs_bin,sample_count,mean_correction,median_correction,std_co,std_correction
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.253,24.28007,2,-5.08,-5.08,,2.757716446627536
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.253,27.4473,56,-0.865,-2.34,,5.899541122370913
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.253,30.91469,3544,-2.1971218961625283,-2.34,,4.059203111714986
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.253,33.73144,469,-2.435863539445629,-3.13,,4.143858903705259
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.2849,27.4473,1,-3.13,-3.13,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.2849,30.91469,102,-3.3323529411764703,-3.91,,4.087280481638778
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.2849,33.73144,2766,-3.090791757049891,-3.91,,4.198029287333087
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.2849,37.57346,947,-2.8808342133051745,-3.13,,4.098114690676709
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.3877,33.73144,33,-2.343939393939394,-2.34,,6.115207447111842
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.3877,37.57346,3901,-2.7128582414765448,-3.13,,4.001846196720588
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.3877,42.21833,393,-2.000916030534351,-3.13,,4.240626839923807
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.449,33.73144,1,-5.47,-5.47,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.449,37.57346,56,-3.0142857142857147,-3.13,,4.475540335948421
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.449,42.21833,3827,-2.00072903057225,-3.13,,4.107740397408918
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.449,47.37292,168,-0.7166666666666667,-0.78,,4.207444025716909
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.5482,33.73144,1,-9.38,-9.38,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.5482,42.21833,194,-1.224742268041237,-2.34,,4.355634096067519
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.5482,47.37292,5099,0.1897293586977839,0.0,,3.993847740921135
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.5482,50.52607,342,1.4186842105263158,0.78,,4.179742414398011
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.62,47.37292,72,-0.0980555555555555,0.0,,4.239061362649369
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.62,50.52607,3022,0.3815949702183984,0.0,,3.8986667660724375
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.62,58.53896,4,-1.1725,0.0,,2.345
