log_date,rom_rev,log_path,duration_min,iat_med,iat_p95,iat_max,ect_med,atm_med,egt_min,pct_highway,pct_boost,fbkc_fires,fbkc_deep,fbkc_deep_resume,fbkc_fires_resume,fbkc_min,iam_min,fbkc_retard_pct,knock_recov_med_s,knock_unrecovered,cam_transit_onset_pct,flkc_decrements,flkc_min,flkc_neg_pct,flkc_end_zero,afl_med,afl_end,total_trim_cruise_med,total_trim_matched_med,idc_max,idc_p99,idc_s_over85,maf_v_max
2026-05-25,20.15,logs/5-25 20.15/log0001.csv,8.6,68.0,80.6,84.2,,14.36,27.0,38.0,1.32,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,0.0,-0.78,-2.34,-1.17,83.8088533333333,39.08241919999999,0.0,4.06
2026-05-26,20.15,logs/5-26 20.15/log0001.csv,26.3,89.6,113.0,123.8,,14.3647,28.0,11.2,0.13,2,0,0,1,-2.8,1.0,0.332,2.62,0,0.0,0,0.0,0.0,True,-1.5625,-2.34375,-2.34375,-2.3438,40.77093333333334,22.300025599999994,0.0,3.36
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,164.2,77.0,95.0,132.8,181.4,14.36,27.0,73.6,1.04,21,3,1,11,-7.0,1.0,0.468,2.24,0,23.8,21,-1.75,0.11,True,-2.34,-2.34,-0.7799999999999998,-0.78,77.22864,29.71220000000003,0.0,4.0
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,45.2,59.0,104.0,113.0,177.8,14.51,26.0,12.7,0.61,11,5,4,8,-11.8,1.0,0.606,1.48,0,54.5,0,0.0,0.0,True,-2.34,-2.34,-2.34,-1.56,101.862933333333,27.29456479999989,1.96,4.34
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,65.6,93.2,114.8,136.4,181.4,14.36,28.0,21.2,0.22,6,0,0,3,-2.8,1.0,0.306,2.04,0,50.0,0,0.0,0.0,True,0.0,0.0,-0.78,-0.78,72.6,24.17740000000005,0.0,3.9
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,32.3,82.4,109.4,122.0,174.2,14.36,27.0,4.1,0.24,7,4,3,3,-8.4,1.0,0.904,2.52,0,28.6,0,0.0,0.0,True,-1.56,-2.34,-1.56,-1.56,70.4066133333333,22.54190400000001,0.0,3.86
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,502.0,80.6,122.0,152.6,181.4,14.36,27.0,62.6,1.09,112,10,9,36,-10.85,1.0,0.606,1.78,0,18.8,139,-1.0,0.24,True,-0.78,-0.78,0.0,-0.39,85.48,30.26,0.04,4.12
2026-06-13,20.17a,logs/6-13 17a leak fix/log0001.csv,6.7,84.2,87.8,91.4,177.8,14.22,26.0,47.5,3.65,4,2,0,1,-4.2,1.0,2.114,1.7,0,50.0,0,0.0,0.0,True,-2.34,-2.34,0.79,0.0,95.3258666666667,60.01117866666669,0.24,4.16
2026-06-14,20.17a,logs/6-13 17a leak fix/log0002.csv,8.1,82.4,93.2,95.0,177.8,14.22,27.0,12.9,2.12,1,0,0,0,-2.45,1.0,0.574,2.8,0,0.0,0,0.0,0.0,True,-2.34,-9.38,-4.69,-5.08,97.368,63.86752639999998,1.48,4.26
2026-06-14,20.17a,logs/6-13 17a leak fix/log0003.csv,9.8,96.8,116.6,123.8,190.4,14.22,29.0,16.7,0.0,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,-2.34,-11.72,-1.56,-1.56,24.3861333333333,20.68142133333337,0.0,2.94
2026-06-14,20.17a,logs/6-13 17a leak fix/log0004.csv,6.9,100.4,141.8,145.4,186.8,14.22,28.0,26.2,0.0,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,-4.69,-5.47,-3.13,-2.34,31.4154666666667,25.390713600000023,0.0,3.12
2026-06-15,20.17a,logs/6-15/log0001.csv,18.1,75.2,80.6,91.4,163.4,14.07,28.0,16.3,0.71,3,1,1,1,-11.8,1.0,0.611,2.28,0,33.3,0,0.0,0.0,True,-5.47,-6.25,-3.13,-3.12,71.9829333333333,32.76532053333333,0.0,3.9
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,183.5,87.8,122.0,152.6,183.2,14.36,26.0,62.8,1.23,48,8,8,18,-11.8,1.0,0.613,1.28,0,25.0,7,-1.0,0.15,True,-2.34,-0.78,-1.56,-1.56,93.7242666666667,35.39754240000002,3.04,4.24
2026-07-12,20.18,logs/7-12 20.18/7-12 20.18.csv,272.6,96.8,123.8,149.0,185.0,14.3647,28.0,36.1,0.15,46,12,9,21,-8.4,1.0,0.592,2.24,0,23.9,518,-1.75,1.72,True,-1.5625,0.0,-2.34375,-1.5625,114.91205333333332,25.12797333333333,0.44,4.38
2026-07-15,20.18a,logs/7-15 20.18a/7-15 20.18a.csv,31.5,93.2,111.2,127.4,172.4,14.2196,27.0,8.7,0.55,2,0,0,0,-1.4,1.0,0.233,2.2,0,0.0,0,0.0,0.0,True,-0.78125,-0.78125,-1.5625,-1.9531,91.152,28.803715200000045,1.0,4.16
2026-07-16,20.18a,logs/7-16 20.18a/7-16 20.18a.csv,18.1,77.0,82.4,89.6,167.0,14.2196,29.0,19.0,0.33,2,0,0,1,-1.4,1.0,0.165,0.9,0,0.0,0,0.0,0.0,True,-0.78125,-1.5625,-1.5625,-1.9531,54.08928,25.150368,0.0,3.56
2026-07-17,20.18a,logs/7-17 20.18a/7-17 20.18a.csv,98.7,84.2,109.4,125.6,179.6,14.3647,28.0,30.6,0.21,9,1,0,2,-4.2,1.0,0.161,0.6,0,33.3,0,0.0,0.0,True,0.0,0.0,-1.5625,-0.7812,58.93066666666667,26.516963200000003,0.0,3.6
2026-07-17,20.18a,logs/7-17 2 20.18a/7-17 2 20.18a.csv,77.8,93.2,127.4,138.2,181.4,14.3647,26.0,45.1,0.67,5,0,0,2,-1.4,1.0,0.138,0.88,0,60.0,0,0.0,0.0,True,0.0,3.125,0.0,0.0,85.0304,27.49438826666666,0.04,4.1
2026-07-18,20.18a,logs/7-18 20.18a/7-18 20.18a.csv,162.9,86.0,96.8,118.4,183.2,14.3647,27.0,72.7,1.72,28,0,0,8,-1.4,1.0,0.327,0.9,0,25.0,0,0.0,0.0,True,0.0,0.78125,0.0,0.0,100.53338666666669,41.12623520000001,2.52,4.32
2026-07-19,20.19,logs/7-19 20.19/7-19 20.19.csv,156.3,86.0,125.6,154.4,181.4,14.3647,26.0,72.6,0.95,23,0,0,4,-2.8,1.0,0.301,1.24,0,13.0,39,-1.0,0.33,True,0.0,0.0,0.0,0.0,104.29642666666666,32.30922560000004,3.04,4.26
2026-07-26,20.19b,logs/7-26 20.19b/7-26 20.19b.csv,57.2,87.8,149.0,150.8,183.2,14.3647,26.0,7.2,0.45,2,0,0,1,-1.4,1.0,0.054,0.92,0,50.0,0,0.0,0.0,True,0.0,-3.90625,-2.34375,-2.3438,101.88096,20.72382293333324,3.6,4.26
2026-07-29,20.19c,logs/7-29 20.19c/7-29 20.19c.csv,25.9,84.2,96.8,105.8,176.0,14.2196,29.0,13.3,0.0,1,0,0,0,-1.4,1.0,0.005,0.08,0,0.0,0,0.0,0.0,True,0.78125,0.78125,-2.34375,-2.3438,32.50976,22.62511359999992,0.0,3.12
2026-08-02,20.19c,logs/8-2 20.19c/8-2 20.19c.csv,186.5,98.6,138.2,152.6,183.2,14.3647,28.0,15.2,0.05,1,0,0,1,-2.8,1.0,0.026,2.96,0,0.0,0,0.0,0.0,True,0.0,0.78125,-0.78125,-0.7812,85.32949333333333,21.882821333333347,0.12,4.08
2026-08-04,20.19c,logs/8-4 20.19c/8-4 20.19c.csv,43.3,82.4,96.8,107.6,174.2,14.2196,28.0,10.6,0.08,1,0,0,1,-1.4,1.0,0.077,2.0,0,0.0,0,0.0,0.0,True,0.78125,0.0,-0.78125,-0.7812,53.25664,23.4558656,0.0,3.54
2026-08-04,20.19c,logs/8-4 2 20.19c/8-4 2 20.19c.csv,48.5,104.0,132.8,147.2,183.2,14.3647,27.0,17.4,0.78,1,0,0,0,-1.4,1.0,0.066,1.92,0,0.0,12,-1.0,0.2,True,0.78125,3.125,-0.78125,-1.1719,77.61717333333334,28.94101759999981,0.0,4.04
2026-08-08,20.19c,logs/8-8 20.19c/8-8 20.19c.csv,25.3,93.2,104.0,114.8,190.4,14.3647,25.0,19.9,1.45,6,0,0,5,-1.4,1.0,0.483,1.02,0,83.3,0,0.0,0.0,True,-0.78125,-0.78125,-3.125,-3.125,106.43722666666667,42.35616,3.56,4.28
2026-08-14,20.19c,logs/8-14 weekend 20.19c/8-14 weekend 20.19c.csv,147.9,87.8,134.6,165.2,181.4,14.3647,28.0,28.1,0.19,12,1,0,2,-4.2,1.0,0.23,2.24,0,0.0,33,-1.0,0.13,True,1.5625,1.5625,0.0,0.0,87.91775999999999,25.406024533333333,0.24,4.04
