log_date,rom_rev,log_path,pull_id,entry_condition,pedal_on_t,pedal_on_RPM,pedal_on_mrp,pedal_on_mph,app100_t_offset,app100_RPM,app100_mrp,thr100_t_offset,thr100_RPM,thr100_mrp,peak_mrp,peak_t_offset,peak_RPM,time_pedal_to_peak,time_app100_to_peak,time_thr100_to_peak,avcs_at_pedal_on,avcs_at_peak,avcs_max,wgdc_at_peak,wgdc_max,peak_mph,target_at_peak,target_attainment,min_fbkc,knock_during,duration_s,min_flkc,flkc_events_during
2026-05-02,20.10,logs/5-2/5-2.csv,2,post_partial,32869.4,3220.0,1.01,39.0,,,,,,,17.97,2.0,3849.0,2.0,,,20.0,26.0,27.0,64.71,78.43,56.0,16.97,1.0589275191514438,-2.8,1,3.680000000000291,,
2026-05-02,20.10,logs/5-2/5-2.csv,3,post_dfco,38780.28,3699.0,-9.0,30.0,,,,0.4000000000014552,3022.0,4.63,12.17,1.5999999999985448,4138.0,1.5999999999985448,,1.1999999999970896,1.0,22.0,25.0,73.33,79.61,40.0,16.99,0.7163037080635669,0.0,0,1.639999999999418,,
2026-05-02,20.10,logs/5-2/5-2.csv,4,post_dfco,38783.52,3918.0,-4.5,48.0,,,,,,,19.28,0.9600000000064028,4467.0,0.9600000000064028,,,0.0,12.0,14.0,58.04,74.9,60.0,18.23,1.0575973669775096,0.0,0,1.640000000006694,,
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,0,post_dfco,288.52,3766.0,-5.37,41.0,,,,,,,5.07,1.3600000000000136,3907.0,1.3600000000000136,,,2.0,23.0,23.0,74.9,77.65,48.0,16.12,0.314516129032258,0.0,0,1.5600000000000025,,
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,1,post_dfco,1415.92,4143.0,-10.01,29.0,1.1599999999998545,3887.0,13.77,1.0,3702.0,11.01,22.32,1.639999999999873,4495.0,1.639999999999873,0.4800000000000182,0.6399999999998727,3.0,14.0,23.0,62.75,79.61,45.0,22.41,0.995983935742972,-1.4,1,1.7999999999999543,,
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,2,post_dfco,1418.28,4029.0,-2.62,47.0,,,,,,,18.26,1.2000000000000457,4592.0,1.2000000000000457,,,2.0,11.0,18.0,58.82,74.12,55.0,17.58,1.0386803185438,0.0,0,1.2799999999999727,,
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,3,post_dfco,1525.68,3443.0,-5.52,42.0,,,,,,,12.32,1.599999999999909,4231.0,1.599999999999909,,,3.0,19.0,25.0,72.55,78.04,51.0,16.68,0.7386091127098322,0.0,0,1.639999999999873,,
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,4,post_dfco,1845.6,3192.0,-5.23,55.0,,,,,,,8.84,2.0,3867.0,2.0,,,3.0,24.0,25.0,75.69,78.82,62.0,15.1,0.5854304635761589,0.0,0,2.0,,
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,0,post_dfco,259.8,3629.0,-5.08,27.0,,,,,,,12.75,2.240000000000009,4513.0,2.240000000000009,,,0.0,14.0,25.0,70.98,78.82,56.0,17.02,0.7491186839012927,0.0,0,3.519999999999982,,
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,1,post_dfco,265.0,3725.0,-9.72,56.0,,,,,,,13.91,1.879999999999996,3990.0,1.879999999999996,,,0.0,23.0,25.0,74.12,78.43,66.0,16.97,0.8196817913965823,0.0,0,2.0,,
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,2,post_dfco,421.72,3220.0,-7.4,24.0,,,,,,,5.07,2.119999999999948,3578.0,2.119999999999948,,,2.0,26.0,26.0,67.45,74.9,35.0,12.76,0.3973354231974922,0.0,0,2.119999999999948,,
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,3,post_dfco,525.68,2630.0,-1.75,25.0,,,,,,,16.09,2.680000000000064,4397.0,2.680000000000064,,,19.0,18.0,28.0,64.31,77.65,45.0,17.17,0.9370995923121724,0.0,0,2.9600000000000364,,
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,4,post_dfco,529.64,4040.0,-8.27,50.0,,,,,,,18.99,0.8400000000000318,4607.0,0.8400000000000318,,,2.0,11.0,14.0,59.61,73.33,62.0,18.14,1.0468577728776185,0.0,0,1.5600000000000591,,
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,5,post_dfco,531.72,3947.0,-7.98,62.0,,,,,,,18.7,1.1599999999999682,4143.0,1.1599999999999682,,,1.0,20.0,22.0,61.18,75.69,71.0,18.06,1.035437430786268,0.0,0,1.879999999999996,,
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,0,post_dfco,632.04,3477.0,-8.13,26.0,,,,,,,7.68,1.400000000000091,3782.0,1.400000000000091,,,2.0,25.0,25.0,75.29,78.43,37.0,15.28,0.5026178010471204,0.0,0,1.4400000000000546,,
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,1,post_dfco,686.16,2949.0,-7.4,20.0,,,,,,,8.4,2.759999999999991,3766.0,2.759999999999991,,,2.0,27.0,28.0,76.08,77.25,37.0,14.39,0.5837387074357192,0.0,0,2.759999999999991,,
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,2,post_dfco,689.92,3950.0,-6.97,41.0,,,,,,,16.38,1.2800000000000864,4091.0,1.2800000000000864,,,2.0,22.0,26.0,67.84,77.65,53.0,17.72,0.9243792325056434,0.0,0,1.7200000000000273,,
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,3,post_dfco,770.12,2968.0,-9.58,21.0,1.1200000000000043,2660.0,3.47,1.1200000000000043,2660.0,3.47,21.74,2.840000000000032,4071.0,2.840000000000032,1.7200000000000273,1.7200000000000273,2.0,21.0,30.0,64.71,80.0,59.0,22.29,0.975325257963212,-1.4,1,4.32000000000005,,
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,0,post_dfco,60.4,4190.0,-8.71,27.0,,,,0.1200000000000045,3148.0,2.89,6.37,1.6799999999999995,3832.0,1.6799999999999995,,1.5599999999999952,2.0,26.0,26.0,74.9,80.0,39.0,15.8,0.4031645569620253,0.0,0,1.8000000000000045,,
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,1,post_dfco,224.6,3599.0,-0.73,58.0,,,,,,,5.5,0.7199999999999989,3758.0,0.7199999999999989,,,18.0,25.0,25.0,75.69,76.86,60.0,15.82,0.3476611883691529,0.0,0,0.7199999999999989,,
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,2,post_dfco,253.48,3062.0,-1.75,30.0,,,,,,,15.51,2.3200000000000216,4625.0,2.3200000000000216,,,19.0,10.0,27.0,67.06,78.04,50.0,17.18,0.9027939464493596,0.0,0,2.799999999999983,,
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,3,post_dfco,256.92,3952.0,-6.39,51.0,,,,,,,18.84,0.8799999999999955,4717.0,0.8799999999999955,,,2.0,8.0,12.0,60.0,74.12,62.0,18.25,1.0323287671232877,0.0,0,1.3599999999999568,,
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,4,post_dfco,258.92,3767.0,-4.65,61.0,,,,0.1999999999999886,3731.0,5.07,18.55,1.1999999999999886,4114.0,1.1999999999999886,,1.0,3.0,20.0,23.0,61.96,76.47,72.0,18.15,1.0220385674931132,0.0,0,2.039999999999964,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,0,post_dfco,1064.2,3794.0,-3.92,62.0,,,,,,,14.64,1.759999999999991,4305.0,1.759999999999991,,,4.0,17.0,24.0,69.02,71.37,71.0,16.42,0.8915956151035322,0.0,0,2.0799999999999272,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,1,post_dfco,1068.96,3043.0,-5.52,76.0,,,,,,,7.39,2.7999999999999545,3160.0,2.7999999999999545,,,2.0,27.0,28.0,70.98,73.33,80.0,9.68,0.7634297520661157,0.0,0,3.0,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,2,post_dfco,1090.08,2782.0,-1.46,70.0,,,,,,,9.27,4.480000000000018,3096.0,4.480000000000018,,,18.0,30.0,30.0,71.37,74.9,80.0,9.59,0.9666319082377476,0.0,0,4.759999999999991,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,3,post_partial,1256.72,2903.0,1.01,73.0,,,,,,,6.37,2.039999999999964,3100.0,2.039999999999964,,,21.0,29.0,29.0,71.37,73.73,79.0,9.34,0.6820128479657388,0.0,0,2.160000000000082,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,4,post_partial,1717.36,3207.0,2.89,81.0,,,,,,,9.85,2.040000000000191,3326.0,2.040000000000191,,,24.0,28.0,28.0,69.41,70.59,85.0,10.77,0.914577530176416,0.0,0,2.4400000000000546,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,5,post_partial,1907.52,3162.0,3.18,80.0,,,,,,,5.07,0.6400000000001,3211.0,0.6400000000001,,,25.0,27.0,27.0,70.59,70.98,81.0,9.71,0.5221421215242018,0.0,0,0.6400000000001,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,6,post_partial,2188.0,3292.0,1.15,83.0,,,,,,,8.11,1.639999999999873,3401.0,1.639999999999873,,,22.0,27.0,27.0,68.63,70.2,86.0,11.4,0.7114035087719297,0.0,0,1.7600000000002185,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,7,post_partial,3083.8,3103.0,5.36,79.0,,,,,,,7.97,1.3599999999996726,3198.0,1.3599999999996726,,,28.0,28.0,29.0,70.59,71.76,81.0,9.47,0.8416050686378035,0.0,0,1.7199999999998,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,8,post_partial,3130.52,3237.0,-0.59,82.0,,,,,,,5.21,1.199999999999818,3306.0,1.199999999999818,,,19.0,26.0,26.0,69.41,70.59,83.0,10.77,0.4837511606313835,0.0,0,1.2800000000002,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,9,post_partial,3394.92,3304.0,1.3,84.0,,,,,,,11.59,2.119999999999891,3520.0,2.119999999999891,,,22.0,27.0,28.0,67.84,69.8,89.0,12.22,0.9484451718494272,0.0,0,2.2399999999997817,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,10,post_dfco,3723.2,2922.0,-2.04,73.0,,,,,,,5.36,1.8400000000001453,3009.0,1.8400000000001453,,,19.0,28.0,28.0,72.55,73.73,76.0,8.96,0.5982142857142857,0.0,0,1.9600000000000364,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,11,post_partial,4164.48,3161.0,2.02,80.0,,,,,,,14.49,2.520000000000437,3337.0,2.520000000000437,,,22.0,28.0,29.0,69.02,70.98,86.0,11.25,1.288,-1.4,1,3.240000000000691,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,12,post_partial,4292.6,2960.0,0.43,75.0,,,,,,,7.53,2.0,3093.0,2.0,,,20.0,28.0,28.0,71.37,73.33,79.0,9.42,0.7993630573248408,0.0,0,2.0799999999999272,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,13,post_dfco,4407.28,3153.0,-1.75,80.0,,,,,,,7.1,2.520000000000437,3378.0,2.520000000000437,,,20.0,27.0,27.0,69.02,70.98,86.0,10.89,0.6519742883379246,0.0,0,2.5600000000004,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,14,post_partial,4545.88,3211.0,2.02,81.0,,,,,,,12.32,2.2799999999997453,3440.0,2.2799999999997453,,,23.0,28.0,28.0,68.63,70.59,87.0,11.59,1.0629853321829164,0.0,0,2.4399999999996,,
