run_ts,baseline,rom_rev,thread,metric,value,n_events,n_pulls,n_samples,delta_vs_baseline,delta_vs_prior
2026-07-16T22:47:30+00:00,garn_base,20.9,wgdc,mean_peak_mrp,8.940772727272728,,11.0,,-3.9965415584415567,-3.8592272727272707
2026-07-16T22:47:30+00:00,garn_base,20.9,wgdc,wgdc_pegged_pulls,0.0,,11.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.9,ol_fueling,afr_osc_per_min,0.5360564494053955,47.0,,,-0.09320081371657363,-0.5414088135634701
2026-07-16T22:47:30+00:00,garn_base,20.9,ol_fueling,ffb_wbo2_div_per_min,1.6994129991788072,149.0,,,-0.49765473307756003,-1.0615917371789114
2026-07-16T22:47:30+00:00,garn_base,20.9,ol_fueling,maf_corr_mean_pct,-1.0170678297899727,,,46613.0,0.3447612823035693,0.7163154008634618
2026-07-16T22:47:30+00:00,garn_base,20.9,ol_fueling,maf_corr_mean_abs_pct,1.3385986559543475,,,46613.0,-0.5189706536353729,-0.5076295958855273
2026-07-16T22:47:30+00:00,garn_base,20.9,cross_thread,stutter_signature_per_min,1.1291401806624288,99.0,,,-0.38534340176671744,-0.8658540953033618
2026-07-16T22:47:30+00:00,garn_base,20.10,pedal_throttle,throttle_hunt_per_min,0.3037199620957487,25.0,,,-0.048237490158912044,0.06420537831886985
2026-07-16T22:47:30+00:00,garn_base,20.10,pedal_throttle,rpm_swing_per_min,1.6036413998655532,132.0,,,-0.07082284267934802,0.7026103466096756
2026-07-16T22:47:30+00:00,garn_base,20.10,avcs,avcs_osc_per_min,0.9354574832549061,77.0,,,-0.03509185478067356,-0.11384450281522973
2026-07-16T22:47:30+00:00,garn_base,20.10,timing_sum,fbkc_events_per_min,0.21867837270893908,18.0,,,0.1013592219573855,0.16165109085730126
2026-07-16T22:47:30+00:00,garn_base,20.10,timing_sum,flkc_events_per_min,0.0,0.0,,,-0.0426615093642013,0.0
2026-07-16T22:47:30+00:00,garn_base,20.10,timing_sum,total_knock_per_min,0.21867837270893908,,,,0.05869771259318421,0.16165109085730126
2026-07-16T22:47:30+00:00,garn_base,20.10,timing_sum,min_fbkc_depth,-7.0,,,,-2.8,-4.2
2026-07-16T22:47:30+00:00,garn_base,20.10,timing_sum,timing_osc_per_min,0.5709935287400075,47.0,,,-0.37822505461347145,-0.3756593499971803
2026-07-16T22:47:30+00:00,garn_base,20.10,wgdc,mean_target_attainment,0.7285170880655274,,6.0,,-0.08842990830760622,0.13886466485457272
2026-07-16T22:47:30+00:00,garn_base,20.10,wgdc,mean_peak_mrp,11.253333333333336,,6.0,,-1.6839809523809492,2.3125606060606074
2026-07-16T22:47:30+00:00,garn_base,20.10,wgdc,wgdc_pegged_pulls,0.0,,6.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.10,ol_fueling,afr_osc_per_min,0.7532255059974567,62.0,,,0.12396824287548758,0.2171690565920612
2026-07-16T22:47:30+00:00,garn_base,20.10,ol_fueling,ffb_wbo2_div_per_min,1.919510160445132,158.0,,,-0.2775575718112353,0.22009716126632473
2026-07-16T22:47:30+00:00,garn_base,20.10,ol_fueling,maf_corr_mean_pct,-1.9156069866694767,,,37958.0,-0.5537778745759347,-0.898539156879504
2026-07-16T22:47:30+00:00,garn_base,20.10,ol_fueling,maf_corr_mean_abs_pct,1.9409307655830126,,,37958.0,0.08336145599329225,0.6023321096286651
2026-07-16T22:47:30+00:00,garn_base,20.10,cross_thread,stutter_signature_per_min,1.3606654301889543,112.0,,,-0.15381815224019202,0.23152524952652542
2026-07-16T22:47:30+00:00,garn_base,20.11,pedal_throttle,throttle_hunt_per_min,0.4962131104727083,38.0,,,0.14425565821804753,0.19249314837695958
2026-07-16T22:47:30+00:00,garn_base,20.11,pedal_throttle,rpm_swing_per_min,2.376599634369287,182.0,,,0.7021353918243858,0.7729582345037338
2026-07-16T22:47:30+00:00,garn_base,20.11,avcs,avcs_osc_per_min,1.3188822146774615,101.0,,,0.34833287664188184,0.3834247314225554
2026-07-16T22:47:30+00:00,garn_base,20.11,timing_sum,fbkc_events_per_min,0.3003395142334813,23.0,,,0.18302036348192774,0.08166114152454224
2026-07-16T22:47:30+00:00,garn_base,20.11,timing_sum,flkc_events_per_min,0.3395142334813267,26.0,,,0.2968527241171254,0.3395142334813267
2026-07-16T22:47:30+00:00,garn_base,20.11,timing_sum,total_knock_per_min,0.6398537477148081,,,,0.4798730875990532,0.421175375005869
2026-07-16T22:47:30+00:00,garn_base,20.11,timing_sum,min_fbkc_depth,-4.2,,,,0.0,2.8
2026-07-16T22:47:30+00:00,garn_base,20.11,timing_sum,timing_osc_per_min,0.8749020632018804,67.0,,,-0.07431652015159862,0.3039085344618728
2026-07-16T22:47:30+00:00,garn_base,20.11,wgdc,mean_target_attainment,0.7676399339712541,,20.0,,-0.04930706240187954,0.03912284590572668
2026-07-16T22:47:30+00:00,garn_base,20.11,wgdc,mean_peak_mrp,13.5645,,20.0,,0.6271857142857158,2.311166666666665
2026-07-16T22:47:30+00:00,garn_base,20.11,wgdc,wgdc_pegged_pulls,0.0,,20.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.11,ol_fueling,afr_osc_per_min,1.2013580569339253,92.0,,,0.5721007938119561,0.44813255093646853
2026-07-16T22:47:30+00:00,garn_base,20.11,ol_fueling,ffb_wbo2_div_per_min,2.8075215460955865,215.0,,,0.6104538138392193,0.8880113856504546
2026-07-16T22:47:30+00:00,garn_base,20.11,ol_fueling,maf_corr_mean_pct,-1.0785863660127748,,,43993.0,0.28324274608076716,0.8370206206567019
2026-07-16T22:47:30+00:00,garn_base,20.11,ol_fueling,maf_corr_mean_abs_pct,1.4322658150160255,,,43993.0,-0.4253034945736949,-0.5086649505669871
2026-07-16T22:47:30+00:00,garn_base,20.11,cross_thread,stutter_signature_per_min,1.8934447636458607,145.0,,,0.3789611812167144,0.5327793334569064
2026-07-16T22:47:30+00:00,garn_base,20.12,pedal_throttle,throttle_hunt_per_min,0.22665853020660798,78.0,,,-0.12529892204805276,-0.2695545802661003
2026-07-16T22:47:30+00:00,garn_base,20.12,pedal_throttle,rpm_swing_per_min,1.0693633220004068,368.0,,,-0.6051009205444944,-1.3072363123688802
2026-07-16T22:47:30+00:00,garn_base,20.12,avcs,avcs_osc_per_min,1.127480893848255,388.0,,,0.15693155581267537,-0.19140132082920647
2026-07-16T22:47:30+00:00,garn_base,20.12,timing_sum,fbkc_events_per_min,0.09008223636416471,31.0,,,-0.027236914387388872,-0.2102572778693166
2026-07-16T22:47:30+00:00,garn_base,20.12,timing_sum,flkc_events_per_min,0.16563507976636738,57.0,,,0.12297357040216608,-0.17387915371495932
2026-07-16T22:47:30+00:00,garn_base,20.12,timing_sum,total_knock_per_min,0.25571731613053206,,,,0.09573665601477718,-0.384136431584276
2026-07-16T22:47:30+00:00,garn_base,20.12,timing_sum,min_fbkc_depth,-7.0,,,,-2.8,-2.8
2026-07-16T22:47:30+00:00,garn_base,20.12,timing_sum,timing_osc_per_min,0.709034376543748,244.0,,,-0.24018420680973096,-0.16586768665813234
2026-07-16T22:47:30+00:00,garn_base,20.12,wgdc,mean_target_attainment,0.8293115953918506,,72.0,,0.012364599018717004,0.061671661420596546
2026-07-16T22:47:30+00:00,garn_base,20.12,wgdc,mean_peak_mrp,9.870416666666666,,72.0,,-3.0668976190476194,-3.694083333333335
2026-07-16T22:47:30+00:00,garn_base,20.12,wgdc,wgdc_pegged_pulls,0.0,,72.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.12,ol_fueling,afr_osc_per_min,0.9037282422340395,311.0,,,0.2744709791120703,-0.2976298146998858
2026-07-16T22:47:30+00:00,garn_base,20.12,ol_fueling,ffb_wbo2_div_per_min,2.0515502862290416,706.0,,,-0.14551744602732564,-0.7559712598665449
2026-07-16T22:47:30+00:00,garn_base,20.12,ol_fueling,maf_corr_mean_pct,1.8318566670646306,,,242903.0,3.1936857791581725,2.9104430330774056
2026-07-16T22:47:30+00:00,garn_base,20.12,ol_fueling,maf_corr_mean_abs_pct,2.3931842752045056,,,242903.0,0.5356149656147853,0.9609184601884802
2026-07-16T22:47:30+00:00,garn_base,20.12,cross_thread,stutter_signature_per_min,1.3657629384244327,470.0,,,-0.14872064400471352,-0.5276818252214279
2026-07-16T22:47:30+00:00,garn_base,20.13,pedal_throttle,throttle_hunt_per_min,0.26487939960669427,44.0,,,-0.08707805264796648,0.03822086940008629
2026-07-16T22:47:30+00:00,garn_base,20.13,pedal_throttle,rpm_swing_per_min,0.9210579122687322,153.0,,,-0.753406330276169,-0.1483054097316746
2026-07-16T22:47:30+00:00,garn_base,20.13,avcs,avcs_osc_per_min,1.1136974756190554,185.0,,,0.14314813758347578,-0.013783418229199595
2026-07-16T22:47:30+00:00,garn_base,20.13,timing_sum,fbkc_events_per_min,0.14447967251274232,24.0,,,0.027160521761188744,0.054397436148577616
2026-07-16T22:47:30+00:00,garn_base,20.13,timing_sum,flkc_events_per_min,0.0,0.0,,,-0.0426615093642013,-0.16563507976636738
2026-07-16T22:47:30+00:00,garn_base,20.13,timing_sum,total_knock_per_min,0.14447967251274232,,,,-0.01550098760301255,-0.11123764361778973
2026-07-16T22:47:30+00:00,garn_base,20.13,timing_sum,min_fbkc_depth,-2.8,,,,1.4000000000000004,4.2
2026-07-16T22:47:30+00:00,garn_base,20.13,timing_sum,timing_osc_per_min,0.7103583898543164,118.0,,,-0.23886019349916254,0.001324013310568417
2026-07-16T22:47:30+00:00,garn_base,20.13,wgdc,mean_target_attainment,0.9547005701078719,,37.0,,0.1377535737347383,0.12538897471602128
2026-07-16T22:47:30+00:00,garn_base,20.13,wgdc,mean_peak_mrp,10.694864864864865,,37.0,,-2.24244942084942,0.8244481981981995
2026-07-16T22:47:30+00:00,garn_base,20.13,wgdc,wgdc_pegged_pulls,0.0,,37.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.13,ol_fueling,afr_osc_per_min,1.0113577075891962,168.0,,,0.382100444467227,0.10762946535515672
2026-07-16T22:47:30+00:00,garn_base,20.13,ol_fueling,ffb_wbo2_div_per_min,1.998635469759602,332.0,,,-0.19843226249676515,-0.05291481646943952
2026-07-16T22:47:30+00:00,garn_base,20.13,ol_fueling,maf_corr_mean_pct,1.1005602029975141,,,96947.0,2.4623893150910563,-0.7312964640671165
2026-07-16T22:47:30+00:00,garn_base,20.13,ol_fueling,maf_corr_mean_abs_pct,1.120532765325384,,,96947.0,-0.7370365442643363,-1.2726515098791216
2026-07-16T22:47:30+00:00,garn_base,20.13,cross_thread,stutter_signature_per_min,1.4508167114821209,241.0,,,-0.06366687094702539,0.08505377305768813
2026-07-16T22:47:30+00:00,garn_base,20.14,pedal_throttle,throttle_hunt_per_min,0.2602343904233745,58.0,,,-0.09172306183128626,-0.0046450091833197815
2026-07-16T22:47:30+00:00,garn_base,20.14,pedal_throttle,rpm_swing_per_min,1.000556363179526,223.0,,,-0.6739078793653752,0.07949845091079377
2026-07-16T22:47:30+00:00,garn_base,20.14,avcs,avcs_osc_per_min,0.9691487643353256,216.0,,,-0.0014005737002540375,-0.1445487112837298
2026-07-16T22:47:30+00:00,garn_base,20.14,timing_sum,fbkc_events_per_min,0.17947199339543066,40.0,,,0.062152842643877076,0.03499232088268833
2026-07-16T22:47:30+00:00,garn_base,20.14,timing_sum,flkc_events_per_min,0.30958918860711787,69.0,,,0.26692767924291655,0.30958918860711787
2026-07-16T22:47:30+00:00,garn_base,20.14,timing_sum,total_knock_per_min,0.48906118200254856,,,,0.3290805218867937,0.34458150948980626
2026-07-16T22:47:30+00:00,garn_base,20.14,timing_sum,min_fbkc_depth,-8.05,,,,-3.8500000000000005,-5.250000000000001
2026-07-16T22:47:30+00:00,garn_base,20.14,timing_sum,timing_osc_per_min,0.6012311778746927,134.0,,,-0.34798740547878626,-0.10912721197962372
2026-07-16T22:47:30+00:00,garn_base,20.14,wgdc,mean_target_attainment,0.944667700613123,,48.0,,0.12772070423998938,-0.010032869494748908
2026-07-16T22:47:30+00:00,garn_base,20.14,wgdc,mean_peak_mrp,10.752291666666666,,48.0,,-2.1850226190476185,0.057426801801801375
2026-07-16T22:47:30+00:00,garn_base,20.14,wgdc,wgdc_pegged_pulls,0.0,,48.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.14,ol_fueling,afr_osc_per_min,0.8390315691236383,187.0,,,0.20977430600166913,-0.1723261384655579
2026-07-16T22:47:30+00:00,garn_base,20.14,ol_fueling,ffb_wbo2_div_per_min,1.6825499380821625,375.0,,,-0.5145177941742047,-0.3160855316774396
2026-07-16T22:47:30+00:00,garn_base,20.14,ol_fueling,maf_corr_mean_pct,0.03370046104410186,,,107365.0,1.3955295731376438,-1.0668597419534123
2026-07-16T22:47:30+00:00,garn_base,20.14,ol_fueling,maf_corr_mean_abs_pct,0.676008289479812,,,107365.0,-1.1815610201099083,-0.4445244758455721
2026-07-16T22:47:30+00:00,garn_base,20.14,cross_thread,stutter_signature_per_min,1.1396471580609846,254.0,,,-0.37483642436816167,-0.3111695534211363
2026-07-16T22:47:30+00:00,garn_base,20.15,pedal_throttle,throttle_hunt_per_min,0.497039518825581,99.0,,,0.14508206657092027,0.23680512840220652
2026-07-16T22:47:30+00:00,garn_base,20.15,pedal_throttle,rpm_swing_per_min,1.2802533060658905,255.0,,,-0.39421093647901073,0.2796969428863645
2026-07-16T22:47:30+00:00,garn_base,20.15,avcs,avcs_osc_per_min,1.2953151096666657,258.0,,,0.3247657716310861,0.32616634533134015
2026-07-16T22:47:30+00:00,garn_base,20.15,timing_sum,fbkc_events_per_min,0.1757210420090438,35.0,,,0.05840189125749021,-0.0037509513863868693
2026-07-16T22:47:30+00:00,garn_base,20.15,timing_sum,flkc_events_per_min,0.10543262520542628,21.0,,,0.06277111584122497,-0.20415656340169158
2026-07-16T22:47:30+00:00,garn_base,20.15,timing_sum,total_knock_per_min,0.28115366721447005,,,,0.12117300709871517,-0.2079075147880785
2026-07-16T22:47:30+00:00,garn_base,20.15,timing_sum,min_fbkc_depth,-7.0,,,,-2.8,1.0500000000000007
2026-07-16T22:47:30+00:00,garn_base,20.15,timing_sum,timing_osc_per_min,0.7581107812390175,151.0,,,-0.19110780211446143,0.15687960336432483
2026-07-16T22:47:30+00:00,garn_base,20.15,wgdc,mean_target_attainment,0.8532658056878626,,40.0,,0.03631880931472897,-0.09140189492526041
2026-07-16T22:47:30+00:00,garn_base,20.15,wgdc,mean_peak_mrp,10.392632500000001,,40.0,,-2.5446817857142836,-0.3596591666666651
2026-07-16T22:47:30+00:00,garn_base,20.15,wgdc,wgdc_pegged_pulls,0.0,,40.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.15,ol_fueling,afr_osc_per_min,1.0894704604560714,217.0,,,0.46021319733410226,0.25043889133243313
2026-07-16T22:47:30+00:00,garn_base,20.15,ol_fueling,ffb_wbo2_div_per_min,2.3396001593204114,466.0,,,0.14253242706404423,0.657050221238249
2026-07-16T22:47:30+00:00,garn_base,20.15,ol_fueling,maf_corr_mean_pct,-0.5468435112588055,,,115554.0,0.8149856008347365,-0.5805439723029073
2026-07-16T22:47:30+00:00,garn_base,20.15,ol_fueling,maf_corr_mean_abs_pct,0.8200676324488984,,,115554.0,-1.0375016771408219,0.1440593429690864
2026-07-16T22:47:30+00:00,garn_base,20.15,cross_thread,stutter_signature_per_min,1.7622310212906962,351.0,,,0.24774743886154993,0.6225838632297116
2026-07-16T22:47:30+00:00,garn_base,20.16,pedal_throttle,throttle_hunt_per_min,0.44200848656294195,20.0,,,0.09005103430828121,-0.05503103226263906
2026-07-16T22:47:30+00:00,garn_base,20.16,pedal_throttle,rpm_swing_per_min,1.591230551626591,72.0,,,-0.08323369091831023,0.3109772455607005
2026-07-16T22:47:30+00:00,garn_base,20.16,avcs,avcs_osc_per_min,0.8619165487977368,39.0,,,-0.10863278923784281,-0.4333985608689289
2026-07-16T22:47:30+00:00,garn_base,20.16,timing_sum,fbkc_events_per_min,0.7956152758132955,36.0,,,0.6782961250617419,0.6198942338042517
2026-07-16T22:47:30+00:00,garn_base,20.16,timing_sum,flkc_events_per_min,0.0,0.0,,,-0.0426615093642013,-0.10543262520542628
2026-07-16T22:47:30+00:00,garn_base,20.16,timing_sum,total_knock_per_min,0.7956152758132955,,,,0.6356346156975407,0.5144616085988254
2026-07-16T22:47:30+00:00,garn_base,20.16,timing_sum,min_fbkc_depth,-11.8,,,,-7.6000000000000005,-4.800000000000001
2026-07-16T22:47:30+00:00,garn_base,20.16,timing_sum,timing_osc_per_min,0.9503182461103252,43.0,,,0.0010996627568462536,0.1922074648713077
2026-07-16T22:47:30+00:00,garn_base,20.16,wgdc,mean_target_attainment,0.7583286756572742,,9.0,,-0.05861832071585937,-0.09493713003058835
2026-07-16T22:47:30+00:00,garn_base,20.16,wgdc,mean_peak_mrp,13.106666666666667,,9.0,,0.16935238095238248,2.714034166666666
2026-07-16T22:47:30+00:00,garn_base,20.16,wgdc,wgdc_pegged_pulls,0.0,,9.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.16,ol_fueling,afr_osc_per_min,0.7735148514851484,35.0,,,0.14425758836317926,-0.315955608970923
2026-07-16T22:47:30+00:00,garn_base,20.16,ol_fueling,ffb_wbo2_div_per_min,2.4310466760961806,110.0,,,0.23397894383981344,0.0914465167757692
2026-07-16T22:47:30+00:00,garn_base,20.16,ol_fueling,maf_corr_mean_pct,-1.831915357217683,,,23865.0,-0.470086245124141,-1.2850718459588775
2026-07-16T22:47:30+00:00,garn_base,20.16,ol_fueling,maf_corr_mean_abs_pct,1.8368916823800543,,,23865.0,-0.02067762720966604,1.0168240499311558
2026-07-16T22:47:30+00:00,garn_base,20.16,cross_thread,stutter_signature_per_min,1.5249292786421498,69.0,,,0.010445696213003508,-0.23730174264854642
2026-07-16T22:47:30+00:00,garn_base,20.17,pedal_throttle,throttle_hunt_per_min,0.4267121826328142,28.0,,,0.07475473037815344,-0.015296303930127764
2026-07-16T22:47:30+00:00,garn_base,20.17,pedal_throttle,rpm_swing_per_min,1.8897253802310343,124.0,,,0.21526113768613309,0.2984948286044433
2026-07-16T22:47:30+00:00,garn_base,20.17,avcs,avcs_osc_per_min,1.036301014965406,68.0,,,0.06575167692982631,0.17438446616766912
2026-07-16T22:47:30+00:00,garn_base,20.17,timing_sum,fbkc_events_per_min,0.15239720808314794,10.0,,,0.03507805733159436,-0.6432180677301476
2026-07-16T22:47:30+00:00,garn_base,20.17,timing_sum,flkc_events_per_min,0.0,0.0,,,-0.0426615093642013,0.0
2026-07-16T22:47:30+00:00,garn_base,20.17,timing_sum,total_knock_per_min,0.15239720808314794,,,,-0.0075834520326069355,-0.6432180677301476
2026-07-16T22:47:30+00:00,garn_base,20.17,timing_sum,min_fbkc_depth,-2.8,,,,1.4000000000000004,9.0
2026-07-16T22:47:30+00:00,garn_base,20.17,timing_sum,timing_osc_per_min,0.5791093907159621,38.0,,,-0.37010919263751685,-0.3712088553943631
2026-07-16T22:47:30+00:00,garn_base,20.17,wgdc,mean_target_attainment,0.6138573194264672,,6.0,,-0.20308967694666646,-0.1444713562308071
2026-07-16T22:47:30+00:00,garn_base,20.17,wgdc,mean_peak_mrp,10.07,,6.0,,-2.8673142857142846,-3.036666666666667
