ROM Size: 1048576 bytes (1024 KB)

================================================================================
ROM HOLES (0xFF regions >= 32 bytes)
================================================================================
Total free space: 195,476 bytes (190.9 KB)

  0x0DAE8C-0x0F8900  121460 bytes (118.6 KB)
  0x0AF998-0x0BB400   47720 bytes (46.6 KB)
  0x0FC004-0x0FFAF8   15092 bytes (14.7 KB)
  0x0FA54C-0x0FC000    6836 bytes (6.7 KB)
  0x0BEDB8-0x0BF600    2120 bytes (2.1 KB)
  0x0BF878-0x0C0000    1928 bytes (1.9 KB)
  0x0FFB00-0x0FFB80     128 bytes (0.1 KB)
  0x000F74-0x000FB0      60 bytes (0.1 KB)
  0x001FD8-0x001FFC      36 bytes (0.0 KB)
  0x000FBC-0x000FDC      32 bytes (0.0 KB)
  0x0CD2C6-0x0CD2E6      32 bytes (0.0 KB)
  0x0D39EA-0x0D3A0A      32 bytes (0.0 KB)

================================================================================
ROM REGION MAP (256-byte block classification)
================================================================================

Region type distribution:
  code              444928 bytes ( 42.4%)  #####################
  0x08A100-0x08A500    1024 bytes  code
  0x08A500-0x08A700     512 bytes  float_data
  0x08A900-0x08B300    2560 bytes  code
  0x08B400-0x08BA00    1536 bytes  code
  0x08BA00-0x08BC00     512 bytes  float_data
  0x08BC00-0x08BE00     512 bytes  code
  0x08BE00-0x08C000     512 bytes  float_data
  0x08C000-0x08CD00    3328 bytes  code
  0x08CE00-0x08D100     768 bytes  code
  0x08D100-0x08D400     768 bytes  float_data
  0x08D400-0x08D800    1024 bytes  code
  0x08D800-0x08DD00    1280 bytes  float_data
  0x08DD00-0x08F400    5888 bytes  code
  0x08F500-0x08FC00    1792 bytes  code
  0x08FD00-0x090000     768 bytes  code
  0x090100-0x090300     512 bytes  code
  0x090600-0x090C00    1536 bytes  code
  0x090D00-0x091000     768 bytes  code
  0x091100-0x091600    1280 bytes  code
  0x091700-0x091D00    1536 bytes  code
  0x091E00-0x092D00    3840 bytes  code
  0x092F00-0x093100     512 bytes  float_data
  0x093100-0x094400    4864 bytes  code
  0x094600-0x094800     512 bytes  float_data
  0x094800-0x094D00    1280 bytes  code
  0x094D00-0x095000     768 bytes  float_data
  0x095100-0x095300     512 bytes  float_data
  0x095300-0x095600     768 bytes  code
