AE5L600L Calibration Cross-Reference: RomRaider Definitions <-> Disassembly Descriptors
========================================================================================================================
RomRaider definitions: 622 | Descriptors: 760 | In cal area: 759
Named (matched): 129 | Unnamed: 630
========================================================================================================================

  DATA_ADDR   DESC_ADDR   DIM   SIZE      TYPE      MATCH   NAME
  0xC6DF8     0xAB940     1D         14   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6EB0     0xAB964     1D         14   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6F84     0xAB97C     1D         13   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7078     0xAB994     1D         16   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7178     0xAB9AC     1D         16   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7278     0xAB9C4     1D         16   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC733C     0xAB9DC     1D          5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7380     0xAB9F4     1D          8   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC73F4     0xABA0C     1D          7   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7444     0xABA24     1D          7   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7490     0xABA3C     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC753C     0xABA54     1D         13   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC75DC     0xABA6C     1D          9   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7630     0xABA84     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7660     0xABA9C     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC76AC     0xABAB4     1D          7   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7700     0xABACC     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7750     0xABAE4     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC77B0     0xABAFC     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7814     0xABB14     1D          7   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC788C     0xABB2C     1D          5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC78F4     0xABB44     1D          7   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7944     0xABB5C     1D          9   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC7998     0xABB74     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC79D8     0xABB8C     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
