sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC
1739,75.36,14.4673,14.5852,14.6928,31,0.78125,0,0.78,1439.75,0.334224692,0,18,64.4,8.02,1.54,0,8.23529,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.76432
1740,75.4,14.4673,14.5852,14.6928,31,0.78125,0,0.78,1440.75,0.333159813,0,18,64.4,8,1.54,0,8.23529,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.76624
1741,75.44,14.7188,14.5852,14.6928,31,0.78125,0,0.78,1436.5,0.333727811,0,18.5,64.4,7.99,1.52,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.75808
1742,75.48,14.7613,14.5852,14.6928,31,0.78125,0,0.78,1424.75,0.336480084,0,18.5,64.4,7.99,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.73552
1743,75.52,14.8464,14.5852,14.6928,31,0.78125,0,0.78,1425.5,0.337565766,0,19,64.4,8.02,1.54,0,8.23529,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.73696
1744,75.56,14.8464,14.5852,14.6928,31,0.78125,0,0.78,1428.5,0.336436822,0,19,64.4,8.01,1.54,0,8.23529,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.74272
1745,75.6,14.9296,14.5852,14.6928,31,0.78125,0,0.78,1429.25,0.336260276,0,18.5,64.4,8.01,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.74416
1746,75.64,14.9721,14.5852,14.6928,31,0.78125,0,0.78,1425.75,0.337506575,0,19,64.4,8.02,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.304,2.73744
1747,75.68,14.6356,14.5852,14.6928,31,0.78125,0,0.78,1429.5,0.336621196,0,18.5,64.4,8.02,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.0496
1748,75.72,14.7188,14.7,14.6928,31,0.78125,0,0.78,1435,0.335749129,0,18,64.4,8.03,1.54,0,7.84314,0,14.3647,5.075,-9.2897,-8.68414,1,8,0,0,4,0,0,0,2.56,3.061333333
