sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT
40,736.76,23.69,14.70,9.38,255,0.00,-7.81,,1764,0.305145287030475,0,8.5,118.4,8.97,1.58,0.00,6.27,0.00,14.22,4.64,-9.58,-8.97,1,7,0,0,1,0.00,0,0,2.82,4.13893333333333,0,203
41,736.8,23.69,14.70,9.48,255,0.00,-7.81,,1763,0.302212138400454,0,8.5,118.4,8.88,1.58,0.00,6.27,0.00,14.22,4.64,-9.58,-8.97,1,7,0,0,1,0.00,0,0,2.82,4.13717333333333,0,203
42,736.84,23.61,14.70,9.48,255,0.00,-7.81,,1758,0.303114777414308,0,8.5,118.4,8.88,1.58,0.00,6.27,0.00,14.22,4.64,-9.58,-8.95,1,7,0,0,1,0.00,0,0,2.82,4.12485333333333,0,203
43,736.88,23.65,14.70,9.58,255,0.00,-7.81,,1739,0.303579128934886,0,8.5,118.4,8.8,1.58,0.00,6.27,0.00,14.22,4.64,-9.58,-8.92,1,7,0,0,1,0.00,0,0,3.07,4.45248,0,203
44,736.92,23.78,14.70,9.58,255,0.00,-7.81,,1735,0.304410492937446,0,8.5,118.4,8.8,1.58,0.00,6.27,0.00,14.22,4.64,-9.58,-8.92,1,7,0,0,1,0.00,0,0,2.82,4.07029333333333,0,203
45,736.96,23.74,14.70,9.58,255,0.00,-7.81,,1731,0.305070056333959,0,8.5,118.4,8.8,1.58,0.00,6.27,0.00,14.22,4.79,-9.43,-8.90,1,7,0,0,1,0.00,0,0,2.82,4.06149333333333,0,203
46,737,23.74,14.70,9.67,255,0.00,-7.81,,1728,0.296266280752533,0,8.5,118.4,8.53,1.56,0.00,6.27,0.00,14.22,4.79,-9.43,-8.84,1,7,0,0,1,0.00,0,0,3.07,4.4224,0,203
47,737.04,23.74,14.70,9.67,255,0.00,-7.81,,1719,0.294589877835951,0,8.5,118.4,8.44,1.56,0.00,6.27,0.00,14.22,4.79,-9.43,-8.84,1,7,0,0,1,0.00,0,0,2.82,4.03392,0,203
48,737.08,23.65,14.70,9.76,255,0.00,-7.81,,1716,0.301442517849337,0,8.5,118.4,8.62,1.56,0.00,6.27,0.00,14.22,4.79,-9.43,-8.81,1,7,0,0,1,0.00,0,0,3.07,4.39232,0,203
49,737.12,23.69,14.70,9.76,255,0.00,-7.81,,1711,0.290048224462955,0,8.5,118.4,8.27,1.56,0.00,5.88,0.00,14.22,4.79,-9.43,-8.81,1,7,0,0,1,0.00,0,0,2.82,4.01456,0,203
50,737.16,23.61,14.70,9.76,255,0.00,-7.03,,1698,0.285823641984396,0,8.5,118.4,8.09,1.56,0.00,5.88,0.00,14.22,4.79,-9.43,-8.79,1,7,0,0,1,0.00,0,0,2.82,3.98522666666667,0,203
51,737.2,23.69,14.70,9.84,255,0.00,-7.03,,1700,0.291968225948808,0,8.5,118.4,8.27,1.56,0.00,5.88,0.00,14.22,4.64,-9.58,-8.81,1,7,0,0,1,0.00,0,0,2.82,3.98816,0,204.8
52,737.24,23.69,14.70,9.84,255,0.00,-7.03,,1692,0.293262411347518,0,8.5,118.4,8.27,1.56,0.00,5.88,0.00,14.22,4.64,-9.58,-8.81,1,7,0,0,1,0.00,0,0,2.82,3.97056,0,204.8
